M,Scheduling Method,Chunk Size,T1,T2,T4,T8,S2,S4,S8
250,dynamic,100,0.000011,0.000127,0.000364,0.000434,0.086342,0.030211,0.025357
250,guided ,100,0.000011,0.000043,0.000333,0.000413,0.254673,0.032693,0.026411
250,static ,1000,0.000012,0.000098,0.000180,0.000446,0.125000,0.068333,0.027554
250,dynamic,1000,0.000011,0.000114,0.000296,0.000316,0.095866,0.036775,0.034537
250,guided ,1000,0.000011,0.000027,0.000237,0.000353,0.410256,0.047158,0.031728
250,static ,5000,0.000019,0.000168,0.000156,0.000162,0.112567,0.121465,0.116523
250,dynamic,5000,0.000012,0.000120,0.000097,0.000163,0.099751,0.123711,0.073484
250,guided ,5000,0.000015,0.000036,0.000120,0.000276,0.409972,0.123026,0.053565
250,static ,10000,0.000013,0.000147,0.000077,0.000143,0.089674,0.170984,0.092308
250,dynamic,10000,0.000011,0.000139,0.000095,0.000160,0.077754,0.113684,0.067500
250,guided ,10000,0.000011,0.000078,0.000111,0.000238,0.136422,0.095495,0.044594
250,static ,50000,0.000013,0.000126,0.000130,0.000220,0.100714,0.097692,0.057754
250,dynamic,50000,0.000011,0.000190,0.000173,0.000248,0.056316,0.061743,0.043180
250,guided ,50000,0.000014,0.000150,0.000390,0.000497,0.092914,0.035641,0.027990
250,static ,100000,0.000012,0.000063,0.000123,0.000250,0.197452,0.100895,0.049679
250,dynamic,100000,0.000011,0.000198,0.000072,0.000167,0.057964,0.159280,0.068945
250,guided ,100000,0.000013,0.000049,0.000127,0.000130,0.274590,0.105678,0.102682
500,static ,10,0.000024,0.000087,0.000238,0.000325,0.275029,0.100336,0.073561
500,dynamic,10,0.000041,0.000125,0.000122,0.000172,0.330671,0.340461,0.240838
500,guided ,10,0.000020,0.000067,0.000082,0.000156,0.301802,0.243932,0.128517
500,static ,50,0.000042,0.000101,0.000172,0.000315,0.418972,0.246799,0.134646
500,dynamic,50,0.000020,0.000105,0.000160,0.000203,0.194656,0.127820,0.100592
500,guided ,50,0.000021,0.000074,0.000219,0.000308,0.282432,0.095347,0.067747
500,static ,100,0.000024,0.000089,0.000229,0.000492,0.270575,0.104712,0.048790
500,dynamic,100,0.000020,0.000049,0.000192,0.000421,0.414784,0.105263,0.048015
500,guided ,100,0.000022,0.000093,0.000301,0.000527,0.235546,0.073163,0.041754
500,static ,1000,0.000023,0.000082,0.000129,0.000143,0.279951,0.178072,0.159805
500,dynamic,1000,0.000023,0.000193,0.000300,0.000350,0.117678,0.075616,0.064894
500,guided ,1000,0.000031,0.000038,0.000282,0.000491,0.819629,0.109497,0.062869
500,static ,5000,0.000033,0.000131,0.000161,0.000212,0.247909,0.202736,0.153774
500,dynamic,5000,0.000022,0.000111,0.000190,0.000370,0.197285,0.115040,0.058855
500,guided ,5000,0.000049,0.000122,0.000314,0.000368,0.403437,0.157056,0.133931
500,static ,10000,0.000026,0.000086,0.000134,0.000259,0.300000,0.192825,0.099652
500,dynamic,10000,0.000031,0.000130,0.000104,0.000261,0.236741,0.296154,0.118098
500,guided ,10000,0.000034,0.000182,0.000219,0.000487,0.186021,0.154408,0.069362
500,static ,50000,0.000026,0.000091,0.000091,0.000469,0.281319,0.282249,0.054631
500,dynamic,50000,0.000021,0.000252,0.000162,0.000368,0.084027,0.131107,0.057593
500,guided ,50000,0.000027,0.000030,0.000280,0.000408,0.909699,0.097074,0.066699
500,static ,100000,0.000025,0.000127,0.000224,0.000513,0.196527,0.111310,0.048500
500,dynamic,100000,0.000047,0.000183,0.000157,0.000415,0.258451,0.302296,0.114217
500,guided ,100000,0.000045,0.000174,0.000316,0.000398,0.256765,0.140916,0.112060
1000,static ,10,0.000043,0.000173,0.000231,0.000353,0.246957,0.184735,0.120748
1000,dynamic,10,0.000045,0.000153,0.000340,0.000505,0.296151,0.133451,0.089865
1000,guided ,10,0.000044,0.000170,0.000315,0.000394,0.260306,0.140140,0.112183
1000,static ,50,0.000044,0.000133,0.000189,0.000313,0.326087,0.229673,0.138933
1000,dynamic,50,0.000041,0.000156,0.000190,0.000177,0.262821,0.215676,0.231638
1000,guided ,50,0.000065,0.000128,0.000146,0.000275,0.502728,0.442690,0.234802
1000,static ,100,0.000068,0.000222,0.000564,0.000391,0.306619,0.120852,0.174258
1000,dynamic,100,0.000043,0.000183,0.000171,0.000199,0.234392,0.250292,0.214752
1000,guided ,100,0.000055,0.000184,0.000308,0.000226,0.300654,0.179337,0.243924
1000,static ,1000,0.000061,0.000158,0.000313,0.000527,0.386810,0.195200,0.115728
1000,dynamic,1000,0.000042,0.000163,0.000101,0.000303,0.257371,0.413215,0.138284
1000,guided ,1000,0.000041,0.000086,0.000249,0.000368,0.474971,0.163658,0.110900
1000,static ,5000,0.000045,0.000102,0.000112,0.000236,0.446411,0.405719,0.192129
1000,dynamic,5000,0.000043,0.000087,0.000401,0.000426,0.493135,0.107428,0.101245
1000,guided ,5000,0.000058,0.000097,0.000392,0.000583,0.602683,0.149132,0.100154
1000,static ,10000,0.000044,0.000132,0.000108,0.000165,0.330310,0.403882,0.265170
1000,dynamic,10000,0.000062,0.000246,0.000187,0.000265,0.252132,0.331377,0.233898
1000,guided ,10000,0.000042,0.000181,0.000157,0.000170,0.231956,0.267812,0.247066
1000,static ,50000,0.000044,0.000177,0.000267,0.000231,0.246467,0.163602,0.188581
1000,dynamic,50000,0.000060,0.000212,0.000117,0.000215,0.282475,0.512865,0.277623
1000,guided ,50000,0.000042,0.000121,0.000097,0.000151,0.344913,0.429897,0.276709
1000,static ,100000,0.000046,0.000097,0.000184,0.000171,0.476876,0.251900,0.271186
1000,dynamic,100000,0.000041,0.000132,0.000124,0.000256,0.306122,0.326613,0.157895
1000,guided ,100000,0.000062,0.000230,0.000384,0.000555,0.270282,0.162029,0.112232
2000,static ,10,0.000091,0.000170,0.000197,0.000275,0.534198,0.460600,0.330055
2000,dynamic,10,0.000092,0.000199,0.000154,0.000187,0.461268,0.593912,0.490637
2000,guided ,10,0.000103,0.000143,0.000123,0.000192,0.723389,0.840521,0.537461
2000,static ,50,0.000114,0.000332,0.000264,0.000282,0.343167,0.432638,0.404686
2000,dynamic,50,0.000100,0.000225,0.000166,0.000353,0.444740,0.603978,0.284255
2000,guided ,50,0.000095,0.000187,0.000183,0.000305,0.506431,0.515548,0.310039
2000,static ,100,0.000106,0.000233,0.000298,0.000307,0.453065,0.354460,0.343964
2000,dynamic,100,0.000142,0.000233,0.000509,0.000532,0.609944,0.279843,0.267531
2000,guided ,100,0.000097,0.000182,0.000547,0.000293,0.536344,0.178062,0.332196
2000,static ,1000,0.000090,0.000138,0.000155,0.000227,0.646676,0.576304,0.394795
2000,dynamic,1000,0.000111,0.000301,0.000313,0.000279,0.367808,0.353242,0.396700
2000,guided ,1000,0.000099,0.000287,0.000224,0.000286,0.345632,0.442908,0.347081
2000,static ,5000,0.000091,0.000144,0.000209,0.000230,0.633588,0.436008,0.396439
2000,dynamic,5000,0.000087,0.000118,0.000173,0.000255,0.736887,0.502597,0.340900
2000,guided ,5000,0.000172,0.000313,0.000309,0.000333,0.547718,0.554801,0.514543
2000,static ,10000,0.000128,0.000198,0.000213,0.000284,0.642821,0.598780,0.449771
2000,dynamic,10000,0.000087,0.000252,0.000142,0.000238,0.344595,0.612288,0.363522
2000,guided ,10000,0.000088,0.000115,0.000279,0.000204,0.768696,0.316959,0.432485
2000,static ,50000,0.000094,0.000146,0.000158,0.000236,0.647220,0.596458,0.399746
2000,dynamic,50000,0.000103,0.000365,0.000169,0.000329,0.282543,0.608619,0.313755
2000,guided ,50000,0.000110,0.000219,0.000338,0.000447,0.500912,0.324764,0.245971
2000,static ,100000,0.000104,0.000291,0.000174,0.000521,0.357953,0.599195,0.199962
2000,dynamic,100000,0.000088,0.000245,0.000254,0.000338,0.359330,0.346730,0.260201
2000,guided ,100000,0.000117,0.000265,0.000261,0.000264,0.443311,0.449425,0.444824
3000,static ,10,0.000170,0.000305,0.000266,0.000452,0.558399,0.640331,0.376133
3000,dynamic,10,0.000206,0.000184,0.000299,0.000300,1.121938,0.688377,0.687917
3000,guided ,10,0.000144,0.000183,0.000247,0.000585,0.788409,0.583569,0.246411
3000,static ,50,0.000143,0.000163,0.000218,0.000280,0.878304,0.655805,0.511270
3000,dynamic,50,0.000162,0.000249,0.000232,0.000208,0.651947,0.699698,0.779645
3000,guided ,50,0.000218,0.000157,0.000182,0.000261,1.388041,1.198901,0.836015
3000,static ,100,0.000163,0.000260,0.000251,0.000381,0.626010,0.648983,0.427146
3000,dynamic,100,0.000142,0.000213,0.000179,0.000687,0.663232,0.789298,0.206114
3000,guided ,100,0.000175,0.000198,0.000235,0.000215,0.883897,0.744789,0.815177
3000,static ,1000,0.000141,0.000208,0.000219,0.000336,0.676768,0.641880,0.418750
3000,dynamic,1000,0.000203,0.000284,0.000345,0.000312,0.713380,0.587076,0.650193
3000,guided ,1000,0.000143,0.000201,0.000298,0.000592,0.708540,0.478377,0.241047
3000,static ,5000,0.000142,0.000194,0.000262,0.000361,0.733265,0.542476,0.394351
3000,dynamic,5000,0.000154,0.000225,0.000262,0.000249,0.685473,0.589156,0.618933
3000,guided ,5000,0.000200,0.000261,0.000307,0.000299,0.766577,0.651254,0.669120
3000,static ,10000,0.000161,0.000261,0.000394,0.000550,0.617038,0.408225,0.292470
3000,dynamic,10000,0.000140,0.000228,0.000274,0.000323,0.613796,0.510226,0.432374
3000,guided ,10000,0.000150,0.000238,0.000228,0.000404,0.632730,0.660228,0.372462
3000,static ,50000,0.000189,0.000285,0.000335,0.000307,0.665495,0.565711,0.617139
3000,dynamic,50000,0.000175,0.000290,0.000223,0.000269,0.603169,0.785907,0.650204
3000,guided ,50000,0.000168,0.000292,0.000310,0.000346,0.573187,0.540994,0.484533
3000,static ,100000,0.000143,0.000242,0.000209,0.000297,0.591736,0.685167,0.482317
3000,dynamic,100000,0.000158,0.000397,0.000223,0.000332,0.398891,0.709735,0.476937
3000,guided ,100000,0.000140,0.000295,0.000248,0.000305,0.473060,0.562903,0.457405
5000,static ,10,0.000260,0.000241,0.000288,0.000598,1.079220,0.905043,0.435044
5000,dynamic,10,0.000272,0.000342,0.000284,0.000296,0.794977,0.958788,0.919905
5000,guided ,10,0.000258,0.000291,0.000194,0.000268,0.886637,1.329727,0.963060
5000,static ,50,0.000261,0.000332,0.000277,0.000457,0.786080,0.941537,0.571522
